Clave,Titulo,Operacion,Tipo,Precio,Moneda,Ciudad,Colonia,Direccion,Recamaras,Baños,Estacionamientos,Construccion,Terreno,Amenidades,Enlace,Descripcion
HZ-001,Casa en Jardines de la Asunción con jardín amplio,Venta,Casa,3450000,MXN,Aguascalientes,Jardines de la Asunción,Av. de la Convención Sur 210,3,2.5,2,185,240,jardín|terraza|cocina integral|cisterna,https://agentesia.diabolicalservices.tech/p/HZ-001,Casa de dos plantas en zona consolidada. Sala con doble altura y jardín trasero con área para asador.
HZ-002,Casa nueva en Trojes de Alonso,Venta,Casa,2680000,MXN,Aguascalientes,Trojes de Alonso,Circuito Trojes Norte 55,3,2.5,2,152,160,seguridad 24h|casa club|alberca|área de juegos,https://agentesia.diabolicalservices.tech/p/HZ-002,Fraccionamiento privado con vigilancia. Estrenar. Acabados de primera y preparación para clima.
HZ-003,Casa residencial en Haciendas de Aguascalientes,Venta,Casa,5900000,MXN,Aguascalientes,Haciendas de Aguascalientes,Hacienda de San Marcos 88,4,3.5,3,310,420,jardín|estudio|cuarto de servicio|seguridad 24h|cisterna,https://agentesia.diabolicalservices.tech/p/HZ-003,Residencia de una planta con estudio independiente y jardín maduro. Ideal para familia grande.
HZ-004,Casa en Villa Sur lista para habitar,Venta,Casa,1850000,MXN,Aguascalientes,Villa Sur,Av. Siglo XXI 1420,2,1.5,1,98,120,patio|cocina integral,https://agentesia.diabolicalservices.tech/p/HZ-004,Opción accesible con crédito Infonavit. Cerca de escuelas y transporte.
HZ-005,Casa en Bosques del Prado con alberca,Venta,Casa,6400000,MXN,Aguascalientes,Bosques del Prado Norte,Bosque de Olivos 34,4,4,3,340,480,alberca|jardín|asador|estudio|bodega,https://agentesia.diabolicalservices.tech/p/HZ-005,Residencia en una de las zonas más solicitadas. Alberca climatizada y jardín con árboles maduros.
HZ-006,Departamento Vista Norte con elevador,Venta,Departamento,2850000,MXN,Aguascalientes,Punto Norte,Av. Universidad 1801 Torre B,2,2,1,96,,elevador|seguridad 24h|gimnasio|roof garden,https://agentesia.diabolicalservices.tech/p/HZ-006,Piso 7 con vista despejada. Amenidades completas en torre nueva.
HZ-007,Departamento en el Centro remodelado,Venta,Departamento,1590000,MXN,Aguascalientes,Centro,Calle Madero 145 Int 4,2,1,1,74,,balcón|cocina integral,https://agentesia.diabolicalservices.tech/p/HZ-007,A dos cuadras de la Plaza de Armas. Edificio remodelado en 2024.
HZ-008,Departamento en Bosques del Prado con terraza,Venta,Departamento,3200000,MXN,Aguascalientes,Bosques del Prado Sur,Bosque de Encinos 12,3,2,2,128,,terraza|elevador|seguridad 24h|área de juegos,https://agentesia.diabolicalservices.tech/p/HZ-008,Planta baja con terraza privada y acceso directo al jardín común.
HZ-009,Terreno en Valle del Encino con servicios,Venta,Terreno,1250000,MXN,Aguascalientes,Valle del Encino,Camino al Encino km 3,,,,,500,acceso pavimentado|servicios municipales|barda perimetral,https://agentesia.diabolicalservices.tech/p/HZ-009,Terreno plano listo para construir. Escrituras en regla y libre de gravamen.
HZ-010,Terreno campestre en El Refugio,Venta,Terreno,890000,MXN,Jesús María,El Refugio,Carretera a Calvillo km 8,,,,,1200,pozo de agua|acceso de terracería|árboles frutales,https://agentesia.diabolicalservices.tech/p/HZ-010,Terreno campestre con frutales establecidos. Ideal para casa de fin de semana.
